OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2025-07-28T23:35:45.570912,15.06418055,.0001487,53.0546,110.8783,126.7581,233.3545,0,U,44714,999,31520,.28332E-3,.3943E-4,0
STARLINK-1010,2019-074D,2025-07-28T20:48:03.593664,15.62401425,.0002555,53.0533,85.3305,187.7805,172.3169,0,U,44716,999,31553,.13971E-2,.127654E-2,0
STARLINK-1011,2019-074E,2025-07-28T10:58:52.799520,15.06987652,.0001766,53.0542,133.2312,78.2783,281.8405,0,U,44717,999,31467,.83886E-2,.129008E-2,0
STARLINK-1012,2019-074F,2025-07-29T02:15:00.510624,15.06408638,.0001333,53.0549,110.3825,92.4361,267.6781,0,U,44718,999,31521,.22892E-3,.3131E-4,0
STARLINK-1013,2019-074G,2025-07-29T06:00:02.000160,15.88857072,.0004458,53.0441,70.7629,98.3555,142.7937,0,U,44719,999,31577,.68927E-3,.203665E-2,0
STARLINK-1015,2019-074J,2025-07-29T06:00:02.000160,15.73674965,.0007338,53.0511,76.8135,97.8938,34.5621,0,U,44721,999,31569,.46595E-3,.66749E-3,0
STARLINK-1017,2019-074L,2025-07-29T00:39:32.937984,15.08328716,.0003187,53.0540,110.3339,87.3926,272.7429,0,U,44723,999,31521,.58212E-3,.8862E-4,0
STARLINK-1019,2019-074M,2025-07-29T02:09:41.978016,15.06412946,.0001394,53.0544,110.3952,78.8367,281.2778,0,U,44724,999,31521,.37291E-4,.274E-5,0
STARLINK-1020,2019-074N,2025-07-29T03:53:12.406560,15.06401235,.0001423,53.0552,130.0765,93.2126,266.9026,0,U,44725,999,31494,.45422E-4,.395E-5,0
STARLINK-1021,2019-074P,2025-07-29T06:00:02.000160,15.69885327,.0008558,53.0492,80.8101,101.1229,292.2019,0,U,44726,999,31564,.97221E-3,.120003E-2,0
STARLINK-1029,2019-074X,2025-07-29T06:00:02.000160,15.66703614,.0005935,53.0571,2.8878,268.3318,121.9435,0,U,44734,999,31671,.23079E-2,.254618E-2,0
STARLINK-1030,2019-074Y,2025-07-29T06:00:02.000160,15.76777181,.0007329,53.0461,100.6281,86.1860,333.2913,0,U,44735,999,31536,.72623E-3,.120341E-2,0
STARLINK-1031,2019-074Z,2025-07-29T03:49:41.705472,15.30514502,.0005074,53.0568,120.1687,70.1220,290.0326,0,U,44736,999,31509,.15129E-2,.45177E-3,0
STARLINK-1036,2019-074AE,2025-07-29T04:35:39.449184,15.06405409,.0001317,53.0547,129.9435,92.8310,267.2829,0,U,44741,999,31495,.12494E-3,.158E-4,0
STARLINK-1039,2019-074AH,2025-07-29T02:48:56.516256,15.06938950,.0002458,53.0538,150.2511,105.8557,254.2703,0,U,44744,999,31466,.16011E-2,.23999E-3,0
STARLINK-1042,2019-074AL,2025-07-29T00:32:12.355008,15.39178935,.0003184,53.0488,78.6116,148.6569,211.4625,0,U,44747,999,31568,.32707E-3,.12519E-3,0
STARLINK-1043,2019-074AM,2025-07-29T02:20:18.814272,15.06403160,.0001155,53.0545,150.3617,98.0610,262.0510,0,U,44748,999,31466,.70354E-4,.767E-5,0
STARLINK-1046,2019-074AQ,2025-07-29T02:41:32.908416,15.06398922,.0001372,53.0551,150.2995,87.6815,272.4331,0,U,44751,999,31466,.77079E-4,.867E-5,0
STARLINK-1047,2019-074AR,2025-07-29T02:21:53.074080,15.26125733,.0001405,53.0737,105.7580,185.8352,174.2630,0,U,44752,999,31529,.26922E-3,.6703E-4,0
STARLINK-1048,2019-074AS,2025-07-29T00:07:37.418880,15.06398050,.0001577,53.0556,110.7845,67.7277,292.3879,0,U,44753,999,31520,.44785E-4,.386E-5,0
STARLINK-1053,2019-074AX,2025-07-28T10:11:17.457504,15.51315137,.0001639,53.0438,104.6788,108.3367,251.7820,0,U,44758,999,31508,.41643E-3,.24488E-3,0
STARLINK-1054,2019-074AY,2025-07-28T20:42:31.647456,15.49089856,.0007822,53.0514,133.6483,62.8472,297.3333,0,U,44759,999,31488,.19569E-2,.109189E-2,0
STARLINK-1056,2019-074BA,2025-07-29T03:45:24.164352,15.60148938,.0001064,53.0484,126.2074,108.9746,251.1382,0,U,44761,999,31501,.48532E-3,.39862E-3,0
STARLINK-1057,2019-074BB,2025-07-29T06:00:02.000160,15.70186399,.0009232,53.0476,101.9284,83.9009,176.8466,0,U,44762,999,31534,.13646E-2,.171923E-2,0
STARLINK-1060,2019-074BE,2025-07-29T02:07:02.697888,15.06400576,.0001474,53.0547,130.4031,94.0100,266.1057,0,U,44765,999,31493,.75522E-4,.844E-5,0
